sample_name,file_name,location,diet,replicate
bristol_as_rep1,bristol_as_rep1_counts.txt,bristol,as,rep1
bristol_as_rep2,bristol_as_rep2_counts.txt,bristol,as,rep2
bristol_as_rep3,bristol_as_rep3_counts.txt,bristol,as,rep3
bristol_bp_rep1,bristol_bp_rep1_counts.txt,bristol,bp,rep1
bristol_bp_rep2,bristol_bp_rep2_counts.txt,bristol,bp,rep2
bristol_bp_rep3,bristol_bp_rep3_counts.txt,bristol,bp,rep3
bristol_hb101_rep1,bristol_hb101_rep1_counts.txt,bristol,hb101,rep1
bristol_hb101_rep2,bristol_hb101_rep2_counts.txt,bristol,hb101,rep2
bristol_hb101_rep3,bristol_hb101_rep3_counts.txt,bristol,hb101,rep3
bristol_m9_rep1,bristol_m9_rep1_counts.txt,bristol,m9,rep1
bristol_m9_rep2,bristol_m9_rep2_counts.txt,bristol,m9,rep2
bristol_m9_rep3,bristol_m9_rep3_counts.txt,bristol,m9,rep3
bristol_op50_rep1,bristol_op50_rep1_counts.txt,bristol,op50,rep1
bristol_op50_rep2,bristol_op50_rep2_counts.txt,bristol,op50,rep2
bristol_op50_rep3,bristol_op50_rep3_counts.txt,bristol,op50,rep3
bristol_pf_rep1,bristol_pf_rep1_counts.txt,bristol,pf,rep1
bristol_pf_rep2,bristol_pf_rep2_counts.txt,bristol,pf,rep2
bristol_pf_rep3,bristol_pf_rep3_counts.txt,bristol,pf,rep3
altadena_as_rep1,altadena_as_rep1_counts.txt,altadena,as,rep1
altadena_as_rep2,altadena_as_rep2_counts.txt,altadena,as,rep2
altadena_as_rep3,altadena_as_rep3_counts.txt,altadena,as,rep3
altadena_bp_rep1,altadena_bp_rep1_counts.txt,altadena,bp,rep1
altadena_bp_rep2,altadena_bp_rep2_counts.txt,altadena,bp,rep2
altadena_bp_rep3,altadena_bp_rep3_counts.txt,altadena,bp,rep3
altadena_hb101_rep1,altadena_hb101_rep1_counts.txt,altadena,hb101,rep1
altadena_hb101_rep2,altadena_hb101_rep2_counts.txt,altadena,hb101,rep2
altadena_hb101_rep3,altadena_hb101_rep3_counts.txt,altadena,hb101,rep3
altadena_m9_rep1,altadena_m9_rep1_counts.txt,altadena,m9,rep1
altadena_m9_rep2,altadena_m9_rep2_counts.txt,altadena,m9,rep2
altadena_m9_rep3,altadena_m9_rep3_counts.txt,altadena,m9,rep3
altadena_op50_rep1,altadena_op50_rep1_counts.txt,altadena,op50,rep1
altadena_op50_rep2,altadena_op50_rep2_counts.txt,altadena,op50,rep2
altadena_op50_rep3,altadena_op50_rep3_counts.txt,altadena,op50,rep3
altadena_pf_rep1,altadena_pf_rep1_counts.txt,altadena,pf,rep1
altadena_pf_rep2,altadena_pf_rep2_counts.txt,altadena,pf,rep2
altadena_pf_rep3,altadena_pf_rep3_counts.txt,altadena,pf,rep3
